Date,File,Words,CharsWord,CharsWhite
2018-03-06T15:16:40Z,00-scratch.Rmd,369,1681,499
2018-03-06T15:16:40Z,01-prospectus.Rmd,155,996,262
2018-03-06T15:16:40Z,02-specific-aims.Rmd,1049,5988,1318
2018-03-06T15:16:40Z,03-significance.Rmd,2401,13605,2650
2018-03-06T15:16:40Z,04-hypotheses.Rmd,656,3695,1120
2018-03-06T15:16:40Z,05-methods.Rmd,1663,8676,2781
2018-03-06T15:16:40Z,06-outcomes.Rmd,501,2670,563
2018-03-06T15:16:40Z,07-analysis.Rmd,3055,16383,3948
2018-03-06T15:16:40Z,10-aim1-part.Rmd,11,70,37
2018-03-06T15:16:40Z,11-aim1-notebook.Rmd,1622,8354,2580
2018-03-06T15:16:40Z,12-aim1-notebook.Rmd,3926,20434,5089
2018-03-06T15:16:40Z,15-aim1-notebook.Rmd,2666,13105,3348
2018-03-06T15:16:40Z,18-entropy.Rmd,5,32,79
2018-03-06T15:16:40Z,20-aim2-part.Rmd,9,63,35
2018-03-06T15:16:40Z,21-aim1-notebook.Rmd,376,1876,503
2018-03-06T15:16:40Z,22-referent-selection.Rmd,31,140,107
2018-03-06T15:16:40Z,80-test.Rmd,159,816,192
2018-03-06T15:16:40Z,90-appendix.Rmd,717,3785,3391
2018-03-06T15:16:40Z,99-references.Rmd,0,0,0
